1,"n/a","2009-06-09 05:39:03","2009-06-09 05:39:03","2009-06-21 14:33:00","","","","open","na",0,0,"Default",0
2,"n/a","2009-06-09 05:39:12","2009-06-09 05:39:12","2009-06-09 05:40:00","","","","closed","terminated",1,1,"Support",10
3,"n/a","2009-06-09 05:41:14","2009-06-09 05:41:14","2009-06-10 02:46:00","","","","closed","terminated",1,1,"Accomidation",0
7,"n/a","2009-06-10 02:08:04","2009-06-10 02:08:04","2009-06-10 04:58:00","","","","closed","terminated",1,1,"Accomidation",0
4,"n/a","2009-06-10 01:26:26","2009-06-10 01:26:26","2009-06-12 02:36:00","","","","open","na",0,0,"Default",0
5,"n/a","2009-06-10 01:26:35","2009-06-10 01:26:35","2009-06-10 01:27:00","","","","closed","terminated",1,1,"Support",20
6,"n/a","2009-06-10 01:27:19","2009-06-10 01:27:19","2009-06-10 02:02:00","","","","closed","terminated",1,1,"Accomidation",0
8,"n/a","2009-06-10 02:44:27","2009-06-10 02:44:27","2009-06-12 00:39:00","","","","open","na",0,0,"Default",0
9,"n/a","2009-06-10 04:54:14","2009-06-10 04:54:14","2009-06-21 14:32:00","no","","","closed","terminated",1,1,"Support",0
10,"n/a","2009-06-10 04:54:25","2009-06-10 04:54:25","2009-06-10 05:01:00","","","","open","supported",1,1,"Support",20
11,"n/a","2009-06-10 04:58:36","2009-06-10 04:58:36","2009-06-10 05:01:00","","","","open","supported",1,1,"Support",20
12,"n/a","2009-06-12 00:41:53","2009-06-12 00:41:53","2009-06-19 03:17:00","","","","open","waiting list",1,1,"Accomidation",0
13,"n/a","2009-06-12 01:02:59","2009-06-12 01:02:59","2009-06-19 14:46:00","","","","open","na",0,0,"Default",0
14,"n/a","2009-06-12 01:04:50","2009-06-12 01:04:50","2009-06-19 14:21:00","","","","closed","rejected",1,1,"Support",0
15,"n/a","2009-06-15 23:39:04","2009-06-15 23:39:04","2009-06-18 02:28:00","","","","open","waiting list",1,1,"Accomidation",0
16,"n/a","2009-06-16 00:20:11","2009-06-16 00:20:11","2009-06-22 18:23:00","","","","open","na",0,0,"Default",0
17,"n/a","2009-06-16 00:21:07","2009-06-16 00:21:07","2009-06-16 00:21:07","","","","open","na",0,0,"Default",0
18,"n/a","2009-06-16 00:21:59","2009-06-16 00:21:59","2009-06-16 00:21:59","","","","open","na",0,0,"Default",0
19,"n/a","2009-06-16 00:22:38","2009-06-16 00:22:38","2009-06-16 00:22:38","","","","open","na",0,0,"Default",0
20,"n/a","2009-06-16 00:23:39","2009-06-16 00:23:39","2009-06-16 00:23:39","","","","open","na",0,0,"Default",0
21,"n/a","2009-06-16 00:25:16","2009-06-16 00:25:16","2009-06-16 06:04:00","","","","open","na",0,0,"Default",0
22,"n/a","2009-06-16 00:26:07","2009-06-16 00:26:07","2009-06-16 00:26:07","","","","open","na",0,0,"Default",0
23,"n/a","2009-06-16 00:26:52","2009-06-16 00:26:52","2009-06-16 00:26:52","","","","open","na",0,0,"Default",0
24,"n/a","2009-06-16 00:27:38","2009-06-16 00:27:38","2009-06-16 00:27:38","","","","open","na",0,0,"Default",0
25,"n/a","2009-06-16 00:28:17","2009-06-16 00:28:17","2009-06-16 00:28:17","","","","open","na",0,0,"Default",0
26,"n/a","2009-06-16 00:52:40","2009-06-16 00:52:40","2009-06-18 11:10:00","","","","open","na",0,0,"Default",0
27,"n/a","2009-06-16 03:49:22","2009-06-16 03:49:22","2009-06-16 03:57:00","","","","closed","rejected",1,1,"Support",0
28,"n/a","2009-06-16 03:58:01","2009-06-16 03:58:01","2009-06-18 06:04:00","","","","open","accom",1,1,"Accomidation",0
31,"n/a","2009-06-17 01:20:27","2009-06-17 01:20:27","2009-06-17 01:20:27","","","","open","na",0,0,"Default",0
29,"n/a","2009-06-16 04:14:36","2009-06-16 04:14:36","2009-06-16 04:14:36","","","","closed","rejected",1,1,"Befriender",0
30,"n/a","2009-06-16 05:31:57","2009-06-16 05:31:57","2009-06-16 05:32:00","","","10","open","bef",1,1,"Befriender",0
32,"n/a","2009-06-17 01:20:56","2009-06-17 01:20:56","2009-06-18 06:07:00","","","","open","accom",1,1,"Accomidation",0
33,"n/a","2009-06-18 23:50:51","2009-06-18 23:50:51","2009-06-19 14:15:00","","","","open","na",0,0,"Default",0
34,"n/a","2009-06-19 14:17:56","2009-06-19 14:17:56","2009-06-19 14:28:00","","","","closed","terminated",1,1,"Support",0
35,"n/a","2009-06-19 14:31:27","2009-06-19 14:31:27","2009-06-19 14:38:00","","","","open","accom",1,1,"Accomidation",30
36,"n/a","2009-06-21 12:41:50","2009-06-21 12:41:50","2009-06-21 14:20:00","yes","","","open","supported",1,1,"Support",15
37,"n/a","2009-06-21 14:33:34","2009-06-21 14:33:34","2009-06-21 14:34:00","yes","","","open","supported",1,1,"Support",20
38,"n/a","2009-06-21 14:38:43","2009-06-21 14:38:43","2009-06-21 14:38:43","","","","open","submitted",1,1,"Befriender",0
39,"n/a","2009-06-22 19:01:14","2009-06-22 19:01:14","2009-06-22 19:01:14","","","","open","submitted",1,1,"Support",0
40,"n/a","2009-06-22 19:01:34","2009-06-22 19:01:34","2009-06-22 19:01:34","","","","open","submitted",1,1,"Accomidation",0
41,"n/a","2009-06-22 19:02:28","2009-06-22 19:02:28","2009-06-22 19:02:28","","","","open","submitted",1,1,"Support",0
42,"n/a","2009-06-24 16:22:31","2009-06-24 16:22:31","2009-06-24 16:22:31","","","","open","submitted",1,1,"Support",0
